invoice_id,purchase_date,time,gender,city,payment_method,invoice_amount
864,2024-12-02,19:07,Female,Marbella,Paypal,427.11
904,2024-03-05,12:35,Female,Mexico City,Cash,668.81
978,2024-11-14,13:00,Female,Mexico City,Credit Card,509.34
946,2024-01-20,14:01,Female,Marbella,Cash,849.15
196,2024-04-18,20:58,Male,Torremolinos,Credit Card,377.11
220,2024-08-28,17:40,Male,Marbella,Cash,449.95
176,2024-06-14,17:32,Male,Torremolinos,Credit Card,433.67
274,2024-07-06,15:23,Female,Fuengirola,Cash,235.61
728,2024-10-10,13:07,Female,Mexico City,Credit Card,888.36
818,2024-07-18,16:24,Female,Mexico City,Paypal,541.39
937,2024-10-13,16:57,Male,Mexico City,Credit Card,851.42
675,2024-08-07,14:28,Male,Malaga,Credit Card,393.43
60,2024-12-20,12:44,Male,Mexico City,Paypal,183.23
950,2024-09-01,09:21,Male,Fuengirola,Cash,623.78
991,2024-12-13,13:43,Male,Malaga,Paypal,984.75
665,2024-05-28,18:16,Male,Malaga,Cash,644.35
743,2024-04-22,10:18,Female,Fuengirola,Paypal,168.88
765,2024-09-24,13:27,Female,Benalmedena,Paypal,12.92
696,2024-10-15,12:42,Male,Mexico City,Credit Card,317.51
212,2024-07-18,14:35,Female,Torremolinos,Credit Card,138.24
925,2024-10-18,16:09,Female,Malaga,Paypal,621.48
304,2024-07-03,16:05,Female,Mexico City,Cash,218.15
271,2024-11-23,10:23,Female,Benalmedena,Credit Card,468.31
551,2024-04-07,17:31,Female,Mexico City,Cash,566.01
568,2024-02-09,11:28,Male,Marbella,Cash,760.42
336,2024-03-25,19:51,Male,Torremolinos,Cash,656.79
611,2024-08-28,14:46,Female,Torremolinos,Credit Card,987.17
775,2024-04-19,19:56,Male,Mexico City,Cash,835.75
62,2024-01-18,18:54,Male,Mexico City,Cash,527.73
60,2024-10-06,12:18,Male,Mexico City,Paypal,929.39
961,2024-11-27,19:45,Male,Mexico City,Paypal,263.92
474,2024-11-22,12:37,Female,Benalmedena,Credit Card,224.8
450,2024-01-28,13:49,Male,Marbella,Cash,60.82
54,2024-06-24,14:36,Female,Mexico City,Credit Card,93.24
145,2024-11-15,20:17,Male,Mexico City,Paypal,375.04
502,2024-07-21,17:44,Female,Benalmedena,Credit Card,634.75
724,2024-09-30,16:18,Male,Benalmedena,Cash,872.03
920,2024-05-08,11:53,Male,Marbella,Paypal,187.25
225,2024-01-06,09:25,Male,Torremolinos,Credit Card,744.96
628,2024-09-21,16:54,Female,Fuengirola,Paypal,609.23
664,2024-10-30,10:20,Male,Fuengirola,Cash,174.64
194,2024-01-08,15:14,Male,Mexico City,Paypal,703.53
145,2024-05-21,09:25,Female,Malaga,Credit Card,60.85
980,2024-11-20,11:03,Female,Malaga,Credit Card,665.69
348,2024-09-23,18:54,Female,Torremolinos,Paypal,222.3
755,2024-08-29,17:53,Female,Fuengirola,Cash,349.88
863,2024-06-15,15:36,Female,Torremolinos,Cash,996.46
443,2024-04-30,11:59,Male,Mexico City,Paypal,205.41
